Time,M1SetpointPWM,M2SetpointPWM,M1SetpointVel,M2SetpointVel,M1SetpointPos,M2SetpointPos,M1PWM,M2PWM,M1Speed,M2Speed,M1ISpeed,M2ISpeed,M1SpeedError,M2SpeedError,M1Pos,M2Pos,M1PosError,M2PosError,M1Current,M2Current,Temp1,Temp2,MBatt,LBatt
109.2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,23.6,23.5,24.5,4.8
109.20555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,23.5,23.5,24.5,4.8
109.20855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,23.5,23.5,24.5,4.8
109.21055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,23.5,23.5,24.5,4.8
109.2136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,23.6,23.5,24.5,4.8
109.21585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,23.6,23.5,24.5,4.8
109.219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,23.5,23.6,24.5,4.8
109.222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,23.5,23.5,24.5,4.8
109.224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,23.6,23.5,24.5,4.8
109.2269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,23.5,23.5,24.5,4.8
109.22915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,23.5,23.5,24.5,4.8
109.2321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,23.5,23.5,24.5,4.8
109.24025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,23.5,23.4,24.5,4.8
109.24235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,23.5,23.4,24.5,4.8
109.24535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,23.6,23.5,24.5,4.8
109.24745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,23.5,23.5,24.5,4.8
109.25025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,23.5,23.5,24.5,4.8
109.25245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,23.5,23.5,24.5,4.8
109.25535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,23.6,23.6,24.5,4.8
109.2574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,23.4,23.4,24.5,4.8
109.26025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,23.5,23.5,24.5,4.8
109.2636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,23.5,23.6,24.5,4.8
109.2658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,23.5,23.6,24.5,4.8
109.2689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,23.6,23.5,24.5,4.8
109.2719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,23.5,23.6,24.5,4.8
109.2741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,23.5,23.4,24.5,4.8
109.2769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,23.5,23.4,24.5,4.8
109.2836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,23.5,23.5,24.5,4.8
109.28585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,23.5,23.5,24.5,4.8
109.289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,23.5,23.6,24.5,4.8
109.29195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,23.6,23.5,24.5,4.8
109.29415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,23.6,23.5,24.5,4.8
109.3036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,23.5,23.6,24.5,4.8
109.3057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,23.5,23.6,24.5,4.8
109.3088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,23.5,23.6,24.5,4.8
109.3113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,23.5,23.5,24.5,4.8
109.3142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,23.5,23.4,24.5,4.8
109.3173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,23.5,23.5,24.5,4.8
109.32035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,23.5,23.5,24.5,4.8
109.3236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,23.5,23.5,24.5,4.8
109.32695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,23.5,23.5,24.5,4.8
109.33025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,23.5,23.5,24.5,4.8
109.3336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,23.5,23.5,24.5,4.8
109.33595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,23.5,23.5,24.5,4.8
109.33915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,23.5,23.5,24.5,4.8
109.3425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,23.5,23.5,24.5,4.8
109.34695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,23.5,23.5,24.5,4.8
109.3552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,23.5,23.5,24.5,4.8
